,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
289,05 Jan 2019,No info,Males or females,London Fields (E8),None,6 months,"['£1,075 pcm']",Beautiful spacious double bedroom - London Fields,Double room,[1075],1075.0,E8
290,Now,Furnished,Males or females,London SE1 (SE1),None,None,"['£205 pw', '£215 pw']",2 Massive Rooms Next to London Bridge !,2 doubles,"[820, 860]",840.0,SE1
291,16 Dec 2018,Furnished,Males or females,Aldgate East (E1),None,3 months,['£135 pw'],Cosy Single Room near Stepney Green/Whitechapel,Single room,[540],540.0,E1
292,Now,Furnished,Males or females,Bermondsey (SE16),None,None,['£205 pw'],London Bridge Great Room Minutes from the Station,Double room,[820],820.0,SE16
293,12 Dec 2018,Furnished,Males or females,Leyton (E10),None,1 month,['£170 pw'],Big double room close Leyton station,Double room,[680],680.0,E10
294,Now,Furnished,Males or females,Aldgate East (E1),None,3 months,"['£145 pw', '£135 pw', '£145 pw', '£175 pw']",Selection of Cheap Rooms in East London 1/2,Single + 3 doubles,"[580, 540, 580, 700]",600.0,E1
295,Now,Furnished,Males or females,Kensington and Chelsea (W8),None,None,['£250 pw'],"Earl's court, District Line, amazing double room!",Double room,[1000],1000.0,W8
296,Now,Furnished,Males or females,White City (W12),None,None,"['£195 pw', '£205 pw', '£215 pw', '£200 pw']",4 Brand New Rooms Near Kensington !,4 doubles,"[780, 820, 860, 800]",815.0,W12
297,Now,No info,Males or females,Shoreditch (N1),None,3 months,['£180 pw'],All inc./2 Weeks Deposit/Old Street/Call Me,Double room,[720],720.0,N1
298,Now,Furnished,Males or females,Whitechapel (E1),None,None,['£200 pw'],Bright room close to Liverpool St!!,Double room,[800],800.0,E1
299,03 Dec 2018,Furnished,Males or females,Holborn (WC1),None,6 months,"['£320 pw', '£255 pw', '£245 pw', '£285 pw']",Luxury New Flat - Ensuite & 3 Rooms - Kings Cross,4 doubles,"[1280, 1020, 980, 1140]",1105.0,WC1
