,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
860,15 Dec 2018,Furnished,Female preferred,Prestwich (M25),None,2 months,['£500 pcm'],Large double furnished room in lovely house,Double room,[500],500.0,M25
861,01 Dec 2018,No info,Males or females,West Didsbury (M20),None,6 months,['£400 pcm'],Friendly Houseshare in West Didsbury (Burton Rd),Double room,[400],400.0,M20
862,Now,Furnished,Males or females,Newall Green (M23),None,None,['£425 pcm'],Large Double Furnished Airy Room,Double room,[425],425.0,M23
863,Now,Furnished,Males or females,Hulme (M15),None,None,['£220 pw'],GOOD VIBES-let out comp.1 BedApt - quiet&safe area,Double room,[880],880.0,M15
864,12 Dec 2018,Furnished,Males or females,Salford (M5),None,6 months,['£400 pcm'],Spacious en-suite double room in Salford Quays,Double room,[400],400.0,M5
865,20 Dec 2018,Furnished,Males or females,Manchester City Centre (M3),None,None,['£700 pcm'],"Huge 2 bed, 2 bath flat in great location!",Double room,[700],700.0,M3
866,Now,Furnished,Males or females,Victoria Park (M13),None,None,['£129 pw'],Cheap New Accomodation- Cinema and Gym,Double room,[516],516.0,M13
867,07 Jan 2019,Furnished,Female preferred,Manchester (M13),12 months,3 months,['£140 pw'],*Short term let* Single bed 10 mins from UoM,Single room,[560],560.0,M13
868,01 Dec 2018,Furnished,Males or females,Ardwick (M13),None,6 months,['£440 pcm'],"Close to City centre, University and shops",Double room,[440],440.0,M13
869,Now,Furnished,Males or females,Eccles (M30),None,None,['£400 pcm'],Monton family home,Double room,[400],400.0,M30
870,Now,Furnished,Males or females,Chorlton (M21),None,None,['£500 pcm'],Room in Chorlton,Single room,[500],500.0,M21
871,Now,Furnished,Males or females,Old Trafford (M16),None,6 months,['£450 pcm'],NO BILLS Lovely Home with cleaner & fibre BB,Double room,[450],450.0,M16
872,10 Jan 2019,Furnished,Female preferred,Manchester City Centre (M1),12 months,4 months,['£550 pcm'],Fully furnished double room Manchester city centre,Double room,[550],550.0,M1
873,15 Jan 2019,Furnished,Males or females,Didsbury (M20),18 months,6 months,['£850 pcm'],En-suite double in large Didsbury apartment,Double room,[850],850.0,M20
874,Now,Furnished,Males or females,Eccles (M30),None,2 months,['£360 pcm'],"Double Room - furnished, friendly, professional",Double room,[360],360.0,M30
875,Now,Furnished,Male preferred,Fallowfield (M14),None,None,['£450 pcm'],Furnished double room with own private shower room,Double room,[450],450.0,M14
876,10 Dec 2018,Furnished,Female preferred,Old Trafford (M16),None,None,['£400 pcm'],Big double room in terraced house with little yard,Double room,[400],400.0,M16
877,Now,Furnished,Males or females,Fallowfield (M14),None,None,['£110 pw'],Double Bedroom close to Manchester Uni/Oxford Rd,Double room,[440],440.0,M14
878,Now,Furnished,Males or females,Wythenshawe (M22),None,None,['£350 pcm'],Refurbished house !,Single room,[350],350.0,M22
879,Now,Furnished,Males or females,Manchester (M9),None,None,"['£120 pw', '£95 pw']","3 rooms to rent. 1 single,1 double & 1 studio",Single + double,"[480, 380]",430.0,M9
880,Now,Furnished,Males or females,Sale (M33),None,1 month,"['£420 pcm', '£420 pcm', '£420 pcm', '£470 pcm', '£440 pcm', '£390 pcm', '£470 pcm']",House share in Sale,Single room,"[420, 420, 420, 470, 440, 390, 470]",432.85714285714283,M33
881,01 Dec 2018,Furnished,Female preferred,Levenshulme (M19),None,3 months,['£390 pcm'],large doub cosy incl 390pcm wifi 20 mins c,Double room,[390],390.0,M19
882,Now,Furnished,Male preferred,Droylsden (M43),None,3 months,['£95 pw'],Large king size bed room to let,Double room,[380],380.0,M43
883,04 Dec 2018,Furnished,Males or females,Manchester (M18),None,3 months,"['£79 pw', '£99 pw']",Beautiful Cosy Hotel Styel  Rooms to  Rent,Single + double,"[316, 396]",356.0,M18
884,Now,No info,Males or females,Manchester (M3),6 months,None,['£390 pcm'],Large Unfurnished room in manchester/salford area,Double room,[390],390.0,M3
885,Now,Furnished,Males or females,Fallowfield (M14),7 months,6 months,['£368 pcm'],Double bedroom on top floor,Double room,[368],368.0,M14
886,20 Jan 2019,Furnished,Males or females,Withington (M20),None,3 months,['£450 pcm'],Large double room to rent in friendly clean house,Double room,[450],450.0,M20
887,Now,No info,Males or females,Rusholme (M14),None,None,['£380 pcm'],Great location 5 min walk from Oxford Road .,Double room,[380],380.0,M14
888,02 Dec 2018,Furnished,Males or females,Sale (M33),None,2 months,['£370 pcm'],*Available Now* All Bills & Parking in Sale,Double room,[370],370.0,M33
889,Now,Furnished,Males or females,Abbey Hey (M18),None,6 months,"['£80 pw', '£80 pw', '£350 pcm', '£70 pw', '£70 pw']",Nice rooms to let Manchester (all bills Incl),2 singles + 3 doubles,"[320, 320, 350, 280, 280]",310.0,M18
890,Now,Furnished,Female preferred,Salford (M6),12 months,None,['£469 pcm'],Room in house available in Salford,Double room,[469],469.0,M6
