,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
251,Now,Furnished,Males or females,Liverpool City Centre (L1),12 months,6 months,['£135 pw (whole property)'],Self Contained studios from £135 all inclusive,Studio flat,[540],540.0,L1
252,Now,Furnished,Males or females,Liverpool City Centre (L1),None,4 months,['£100 pw'],"Landlord ,Share a Base",Double room,[400],400.0,L1
253,01 Dec 2018,Furnished,Males or females,Liverpool (L13),None,6 months,['£395 pcm'],En-suite rooms to let in  large luxury house,Double room,[395],395.0,L13
254,Now,Furnished,Males or females,Liverpool (L20),None,1 month,"['£245 pcm', '£250 pcm', '£245 pcm', '£300 pcm']",Quiet small house-share close to city.,2 doubles,"[245, 250, 245, 300]",260.0,L20
255,Now,Furnished,Males or females,Liverpool (L22),None,6 months,['£99 pw'],Double Studio Room Within House Share,Double room,[396],396.0,L22
256,Now,Furnished,Males or females,Bootle (L20),None,6 months,['£65 pw'],Single Room Within House Share,Single room,[260],260.0,L20
257,Now,Furnished,Males or females,Litherland (L21),None,6 months,['£65 pw'],Double Room Within House Share,Double room,[260],260.0,L21
258,Now,Furnished,Males or females,Liverpool (L20),None,6 months,['£65 pw'],Double Room Within House Share,Double room,[260],260.0,L20
259,10 Dec 2018,Furnished,Female preferred,Liverpool (L15),6 months,3 months,['£96 pw'],Rent My Student Room,Double room,[384],384.0,L15
260,Now,Furnished,Males or females,Liverpool City Centre (L1),None,6 months,"['£395 pcm', '£395 pcm']",Two Double Bedrooms in Apartment with Large Lounge,Double room,"[395, 395]",395.0,L1
261,Now,Furnished,Males or females,Litherland (L21),None,6 months,"['£100 pw', '£100 pw']","Litherland, L21. Own bathroom, kitchen, all bills",2 doubles,"[400, 400]",400.0,L21
262,Now,Furnished,Males or females,Liverpool (L9),None,6 months,"['£90 pw', '£90 pw', '£90 pw', '£90 pw', '£90 pw', '£90 pw', '£90 pw', '£90 pw']",Orrell Park House Share - Harley Street,3 doubles,"[360, 360, 360, 360, 360, 360, 360, 360]",360.0,L9
263,Now,Furnished,Males or females,Liverpool (L6),None,None,['£300 pcm'],House Share,Double room,[300],300.0,L6
264,Now,Furnished,Female preferred,Liverpool (L15),None,None,['£380 pcm'],Large room in nice welcoming house,Double room,[380],380.0,L15
265,01 Dec 2018,Furnished,Males or females,Liverpool (L5),None,6 months,"['£325 pcm', '£325 pcm', '£300 pcm', '£300 pcm']",Recent newly-built refurbished 4 Bedroom ho,4 doubles,"[325, 325, 300, 300]",312.5,L5
266,Now,Furnished,Males or females,Liverpool (L7),None,6 months,"['£160 pcm', '£180 pcm', '£200 pcm', '£200 pcm']",Great Double Rooms available in L7. Liverpool.,3 doubles,"[160, 180, 200, 200]",185.0,L7
267,01 Jul 2019,Furnished,No info,Liverpool (L7),12 months,12 months,['£105 pw (whole property)'],Newly Refurbish Student Let for 2019-2020,6 bed flat,[420],420.0,L7
268,Now,Furnished,Males or females,Liverpool (L4),None,4 months,['£75 pw'],Large Double Room £75 p/w inclusive of all bills,Double room,[300],300.0,L4
269,Now,Furnished,Males or females,Liverpool (L4),None,4 months,['£75 pw'],Large double room £75 p/w inc all bills,Double room,[300],300.0,L4
270,Now,Furnished,No info,Liverpool (L5),12 months,9 months,['£110 pw (whole property)'],Phoenix Place - Brand New for September 2018!,1 bed flat,[440],440.0,L5
271,Now,Furnished,Males or females,Liverpool (L7),None,3 months,['£450 pcm'],"Double Room for rent. Edge Hill, Liverpool7",Double room,[450],450.0,L7
272,Now,Furnished,Males or females,Liverpool City Centre (L3),8 months,1 month,"['£99 pw', '£99 pw', '£110 pw']",Falkland House Luxury Student Accommodation,3 doubles,"[396, 396, 440]",410.6666666666667,L3
273,01 Sep 2019,Furnished,No info,Liverpool City Centre (L3),12 months,9 months,['£125 pw (whole property)'],One Islington Plaza - New for early 2019!,1 bed flat,[500],500.0,L3
274,Now,Furnished,Female preferred,Ormskirk (L39),None,None,"['£100 pw', '£100 pw']","1 WEEK DEP cottage in rural location, Edge Hill",2 doubles,"[400, 400]",400.0,L39
275,01 Jul 2019,Furnished,No info,Liverpool (L18),None,12 months,['£655 pw (whole property)'],7 Bedroom Student House +  Welcome Pack & Cleaner,7 bed house,[2620],2620.0,L18
276,01 Dec 2018,Furnished,Males or females,Liverpool (L7),None,6 months,"['£360 pcm', '£360 pcm', '£360 pcm']",L7 - Shabby Chic-Scandi Inspired Student Home,3 doubles,"[360, 360, 360]",360.0,L7
277,Now,Furnished,Males or females,Liverpool (L9),None,3 months,"['£400 pcm', '£400 pcm', '£400 pcm']",Brand new refurbished 3 BR house / 2 bathrooms,3 doubles,"[400, 400, 400]",400.0,L9
278,Now,Furnished,Males or females,Liverpool (L4),None,3 months,"['£300 pcm', '£300 pcm', '£300 pcm', '£300 pcm', '£300 pcm']",5 Double Bedrooms Available In L4,5 doubles,"[300, 300, 300, 300, 300]",300.0,L4
279,Now,Furnished,Males or females,Liverpool City Centre (L6),None,6 months,"['£85 pw', '£85 pw', '£80 pw', '£85 pw', '£85 pw', '£95 pw']",Awesome new rooms -  *LAST ROOM*,Double room,"[340, 340, 320, 340, 340, 380]",343.3333333333333,L6
280,11 Dec 2018,Furnished,Males or females,Liverpool (L7),None,6 months,"['£290 pcm', '£210 pcm', '£320 pcm', '£270 pcm']",House share (Edge lane) wifi & cleaner incl,Double room,"[290, 210, 320, 270]",272.5,L7
281,Now,Furnished,Males or females,Liverpool City Centre (L7),None,None,['£325 pcm'],Double Bedroom - £325pcm with all bills,Double room,[325],325.0,L7
282,14 Dec 2018,Furnished,Males or females,Liverpool City Centre (L6),None,6 months,"['£85 pw', '£85 pw', '£80 pw', '£65 pw']",Fantastic Four bedroom property,Double room,"[340, 340, 320, 260]",315.0,L6
283,Now,Furnished,Males or females,Liverpool (L5),None,3 months,"['£70 pw', '£70 pw', '£70 pw', '£60 pw', '£60 pw', '£60 pw']",Excellent double room L5 6SX,2 doubles,"[280, 280, 280, 240, 240, 240]",260.0,L5
284,Now,Furnished,Males or females,Liverpool (L4),None,None,"['£260 pcm', '£225 pcm', '£250 pcm', '£265 pcm']",New rooms to let near city centre,Single + 3 doubles,"[260, 225, 250, 265]",250.0,L4
285,Now,Furnished,No info,Liverpool City Centre (L1),None,6 months,['£143 pw (whole property)'],Studio @  X1 Liverpool One. £143 P/Week,1 bed flat,[572],572.0,L1
